Replicon	models
ABAL001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ABDE001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ABPH001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC001.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC001.0321.00002.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC001.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC001.0321.00004.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC001.0321.00005.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC001.0321.00006.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC001.0321.00007.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00002.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00002.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00002.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00002.P005	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00003.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00003.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00003.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAC002.0321.00003.P005	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAM001.0321.00001.C001	TFF-SF Archaeal-T4P
ACAR001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00001.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00001.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00002.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00002.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00002.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00003.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00003.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAS001.0321.00003.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAV001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACAX001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00001.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00004.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00005.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00005.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00005.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00005.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00006.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00006.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00007.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00007.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00008.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00008.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00008.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00008.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00009.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00009.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00009.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00009.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00010.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00010.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
